scenario,species,life_stage,habitat_type,flow,suitable_acres,timestamp
Existing,steelhead,rearing,floodplain,100,13.16593205,11/15/2018 6:00
Existing,steelhead,spawning,instream,100,-9999,11/15/2018 6:00
Existing,steelhead,spawning,floodplain,100,-9999,11/15/2018 6:00
Existing,fall,adult,instream,250,65.11551882,11/15/2018 16:00
Existing,fall,adult,floodplain,250,-9999,11/15/2018 16:00
Existing,fall,juvenile,instream,250,52.63278237,11/15/2018 16:00
Existing,fall,juvenile,floodplain,250,26.14591368,11/15/2018 16:00
Existing,fall,rearing,instream,250,52.63278237,11/15/2018 16:00
Existing,fall,rearing,floodplain,250,26.14591368,11/15/2018 16:00
Existing,fall,spawning,instream,250,65.11551882,11/15/2018 16:00
Existing,fall,spawning,floodplain,250,-9999,11/15/2018 16:00
Existing,spring,adult,instream,250,-9999,11/15/2018 16:00
Existing,spring,adult,floodplain,250,-9999,11/15/2018 16:00
Existing,spring,juvenile,instream,250,66.17318641,11/15/2018 16:00
Existing,spring,juvenile,floodplain,250,26.14591368,11/15/2018 16:00
Existing,spring,rearing,instream,250,66.17318641,11/15/2018 16:00
Existing,spring,rearing,floodplain,250,26.14591368,11/15/2018 16:00
Existing,spring,spawning,instream,250,-9999,11/15/2018 16:00
Existing,spring,spawning,floodplain,250,-9999,11/15/2018 16:00
Existing,late-fall,adult,instream,250,65.11551882,11/15/2018 16:00
Existing,late-fall,adult,floodplain,250,-9999,11/15/2018 16:00
Existing,late-fall,juvenile,instream,250,52.63278237,11/15/2018 16:00
Existing,late-fall,juvenile,floodplain,250,26.14591368,11/15/2018 16:00
Existing,late-fall,rearing,instream,250,52.63278237,11/15/2018 16:00
Existing,late-fall,rearing,floodplain,250,26.14591368,11/15/2018 16:00
Existing,late-fall,spawning,instream,250,65.11551882,11/15/2018 16:00
Existing,late-fall,spawning,floodplain,250,-9999,11/15/2018 16:00
Existing,hardhead,adult,instream,250,-9999,11/15/2018 16:00
Existing,hardhead,adult,floodplain,250,-9999,11/15/2018 16:00
Existing,hardhead,juvenile,instream,250,35.1312213,11/15/2018 16:00
Existing,hardhead,juvenile,floodplain,250,5.787603306,11/15/2018 16:00
Existing,hardhead,rearing,instream,250,35.1312213,11/15/2018 16:00
Existing,hardhead,rearing,floodplain,250,5.787603306,11/15/2018 16:00
Existing,hardhead,spawning,instream,250,-9999,11/15/2018 16:00
Existing,hardhead,spawning,floodplain,250,-9999,11/15/2018 16:00
Existing,steelhead,adult,instream,250,-9999,11/15/2018 16:00
Existing,steelhead,adult,floodplain,250,-9999,11/15/2018 16:00
Existing,steelhead,juvenile,instream,250,66.17318641,11/15/2018 16:00
Existing,steelhead,juvenile,floodplain,250,26.14591368,11/15/2018 16:00
Existing,steelhead,rearing,instream,250,66.17318641,11/15/2018 16:00
Existing,steelhead,rearing,floodplain,250,26.14591368,11/15/2018 16:00
Existing,steelhead,spawning,instream,250,-9999,11/15/2018 16:00
Existing,steelhead,spawning,floodplain,250,-9999,11/15/2018 16:00
Existing,fall,adult,instream,300,65.88714417,11/16/2018 2:00
Existing,fall,adult,floodplain,300,-9999,11/16/2018 2:00
Existing,fall,juvenile,instream,300,48.68025712,11/16/2018 2:00
Existing,fall,juvenile,floodplain,300,31.03232323,11/16/2018 2:00
Existing,fall,rearing,instream,300,48.68025712,11/16/2018 2:00
Existing,fall,rearing,floodplain,300,31.03232323,11/16/2018 2:00
Existing,fall,spawning,instream,300,65.88714417,11/16/2018 2:00
Existing,fall,spawning,floodplain,300,-9999,11/16/2018 2:00
Existing,spring,adult,instream,300,-9999,11/16/2018 2:00
Existing,spring,adult,floodplain,300,-9999,11/16/2018 2:00
Existing,spring,juvenile,instream,300,65.7204775,11/16/2018 2:00
Existing,spring,juvenile,floodplain,300,31.03232323,11/16/2018 2:00
Existing,spring,rearing,instream,300,65.7204775,11/16/2018 2:00
Existing,spring,rearing,floodplain,300,31.03232323,11/16/2018 2:00
Existing,spring,spawning,instream,300,-9999,11/16/2018 2:00
Existing,spring,spawning,floodplain,300,-9999,11/16/2018 2:00
Existing,late-fall,adult,instream,300,65.88714417,11/16/2018 2:00
Existing,late-fall,adult,floodplain,300,-9999,11/16/2018 2:00
Existing,late-fall,juvenile,instream,300,48.68025712,11/16/2018 2:00
Existing,late-fall,juvenile,floodplain,300,31.03232323,11/16/2018 2:00
Existing,late-fall,rearing,instream,300,48.68025712,11/16/2018 2:00
Existing,late-fall,rearing,floodplain,300,31.03232323,11/16/2018 2:00
Existing,late-fall,spawning,instream,300,65.88714417,11/16/2018 2:00
Existing,late-fall,spawning,floodplain,300,-9999,11/16/2018 2:00
Existing,hardhead,adult,instream,300,-9999,11/16/2018 2:00
Existing,hardhead,adult,floodplain,300,-9999,11/16/2018 2:00
Existing,hardhead,juvenile,instream,300,42.28466483,11/16/2018 2:00
Existing,hardhead,juvenile,floodplain,300,7.798806244,11/16/2018 2:00
Existing,hardhead,rearing,instream,300,42.28466483,11/16/2018 2:00
Existing,hardhead,rearing,floodplain,300,7.798806244,11/16/2018 2:00
Existing,hardhead,spawning,instream,300,-9999,11/16/2018 2:00
Existing,hardhead,spawning,floodplain,300,-9999,11/16/2018 2:00
Existing,steelhead,adult,instream,300,-9999,11/16/2018 2:00
Existing,steelhead,adult,floodplain,300,-9999,11/16/2018 2:00
Existing,steelhead,juvenile,instream,300,65.7204775,11/16/2018 2:00
Existing,steelhead,juvenile,floodplain,300,31.03232323,11/16/2018 2:00
Existing,steelhead,rearing,instream,300,65.7204775,11/16/2018 2:00
Existing,steelhead,rearing,floodplain,300,31.03232323,11/16/2018 2:00
Existing,steelhead,spawning,instream,300,-9999,11/16/2018 2:00
Existing,steelhead,spawning,floodplain,300,-9999,11/16/2018 2:00
Existing,fall,adult,instream,400,65.29669421,11/16/2018 12:00
Existing,fall,adult,floodplain,400,-9999,11/16/2018 12:00
Existing,fall,juvenile,instream,400,40.12056933,11/16/2018 12:00
Existing,fall,juvenile,floodplain,400,38.37052342,11/16/2018 12:00
Existing,fall,rearing,instream,400,40.12056933,11/16/2018 12:00
Existing,fall,rearing,floodplain,400,38.37052342,11/16/2018 12:00
Existing,fall,spawning,instream,400,65.29669421,11/16/2018 12:00
Existing,fall,spawning,floodplain,400,-9999,11/16/2018 12:00
Existing,spring,adult,instream,400,-9999,11/16/2018 12:00
Existing,spring,adult,floodplain,400,-9999,11/16/2018 12:00
Existing,spring,juvenile,instream,400,64.75592287,11/16/2018 12:00
Existing,spring,juvenile,floodplain,400,38.37052342,11/16/2018 12:00
Existing,spring,rearing,instream,400,64.75592287,11/16/2018 12:00
Existing,spring,rearing,floodplain,400,38.37052342,11/16/2018 12:00
Existing,spring,spawning,instream,400,-9999,11/16/2018 12:00
Existing,spring,spawning,floodplain,400,-9999,11/16/2018 12:00
Existing,late-fall,adult,instream,400,65.29669421,11/16/2018 12:00
Existing,late-fall,adult,floodplain,400,-9999,11/16/2018 12:00
Existing,late-fall,juvenile,instream,400,40.12056933,11/16/2018 12:00
Existing,late-fall,juvenile,floodplain,400,38.37052342,11/16/2018 12:00
Existing,late-fall,rearing,instream,400,40.12056933,11/16/2018 12:00
Existing,late-fall,rearing,floodplain,400,38.37052342,11/16/2018 12:00
Existing,late-fall,spawning,instream,400,65.29669421,11/16/2018 12:00
Existing,late-fall,spawning,floodplain,400,-9999,11/16/2018 12:00
Existing,hardhead,adult,instream,400,-9999,11/16/2018 12:00
Existing,hardhead,adult,floodplain,400,-9999,11/16/2018 12:00
Existing,hardhead,juvenile,instream,400,46.99770432,11/16/2018 12:00
Existing,hardhead,juvenile,floodplain,400,11.68549128,11/16/2018 12:00
Existing,hardhead,rearing,instream,400,46.99770432,11/16/2018 12:00
Existing,hardhead,rearing,floodplain,400,11.68549128,11/16/2018 12:00
Existing,hardhead,spawning,instream,400,-9999,11/16/2018 12:00
Existing,hardhead,spawning,floodplain,400,-9999,11/16/2018 12:00
Existing,steelhead,adult,instream,400,-9999,11/16/2018 12:00
Existing,steelhead,adult,floodplain,400,-9999,11/16/2018 12:00
Existing,steelhead,juvenile,instream,400,64.75592287,11/16/2018 12:00
Existing,steelhead,juvenile,floodplain,400,38.37052342,11/16/2018 12:00
Existing,steelhead,rearing,instream,400,64.75592287,11/16/2018 12:00
Existing,steelhead,rearing,floodplain,400,38.37052342,11/16/2018 12:00
Existing,steelhead,spawning,instream,400,-9999,11/16/2018 12:00
Existing,steelhead,spawning,floodplain,400,-9999,11/16/2018 12:00
Existing,fall,adult,instream,500,63.956382,11/16/2018 22:00
Existing,fall,adult,floodplain,500,-9999,11/16/2018 22:00
Existing,fall,juvenile,instream,500,31.89825528,11/16/2018 22:00
Existing,fall,juvenile,floodplain,500,45.2224977,11/16/2018 22:00
Existing,fall,rearing,instream,500,31.89825528,11/16/2018 22:00
Existing,fall,rearing,floodplain,500,45.2224977,11/16/2018 22:00
Existing,fall,spawning,instream,500,63.956382,11/16/2018 22:00
Existing,fall,spawning,floodplain,500,-9999,11/16/2018 22:00
Existing,spring,adult,instream,500,-9999,11/16/2018 22:00
Existing,spring,adult,floodplain,500,-9999,11/16/2018 22:00
Existing,spring,juvenile,instream,500,62.48117539,11/16/2018 22:00
Existing,spring,juvenile,floodplain,500,45.2224977,11/16/2018 22:00
Existing,spring,rearing,instream,500,62.48117539,11/16/2018 22:00
Existing,spring,rearing,floodplain,500,45.2224977,11/16/2018 22:00
Existing,spring,spawning,instream,500,-9999,11/16/2018 22:00
Existing,spring,spawning,floodplain,500,-9999,11/16/2018 22:00
Existing,late-fall,adult,instream,500,63.956382,11/16/2018 22:00
Existing,late-fall,adult,floodplain,500,-9999,11/16/2018 22:00
Existing,late-fall,juvenile,instream,500,31.89825528,11/16/2018 22:00
Existing,late-fall,juvenile,floodplain,500,45.2224977,11/16/2018 22:00
Existing,late-fall,rearing,instream,500,31.89825528,11/16/2018 22:00
Existing,late-fall,rearing,floodplain,500,45.2224977,11/16/2018 22:00
Existing,late-fall,spawning,instream,500,63.956382,11/16/2018 22:00
Existing,late-fall,spawning,floodplain,500,-9999,11/16/2018 22:00
Existing,hardhead,adult,instream,500,-9999,11/16/2018 22:00
Existing,hardhead,adult,floodplain,500,-9999,11/16/2018 22:00
Existing,hardhead,juvenile,instream,500,45.10082645,11/16/2018 22:00
Existing,hardhead,juvenile,floodplain,500,16.07933884,11/16/2018 22:00
Existing,hardhead,rearing,instream,500,45.10082645,11/16/2018 22:00
Existing,hardhead,rearing,floodplain,500,16.07933884,11/16/2018 22:00
Existing,hardhead,spawning,instream,500,-9999,11/16/2018 22:00
Existing,hardhead,spawning,floodplain,500,-9999,11/16/2018 22:00
Existing,steelhead,adult,instream,500,-9999,11/16/2018 22:00
Existing,steelhead,adult,floodplain,500,-9999,11/16/2018 22:00
Existing,steelhead,juvenile,instream,500,62.48117539,11/16/2018 22:00
Existing,steelhead,juvenile,floodplain,500,45.2224977,11/16/2018 22:00
Existing,steelhead,rearing,instream,500,62.48117539,11/16/2018 22:00
Existing,steelhead,rearing,floodplain,500,45.2224977,11/16/2018 22:00
Existing,steelhead,spawning,instream,500,-9999,11/16/2018 22:00
Existing,steelhead,spawning,floodplain,500,-9999,11/16/2018 22:00
Existing,fall,adult,instream,600,62.37134986,11/17/2018 8:00
Existing,fall,adult,floodplain,600,-9999,11/17/2018 8:00
Existing,fall,juvenile,instream,600,24.84435262,11/17/2018 8:00
Existing,fall,juvenile,floodplain,600,52.80780533,11/17/2018 8:00
Existing,fall,rearing,instream,600,24.84435262,11/17/2018 8:00
Existing,fall,rearing,floodplain,600,52.80780533,11/17/2018 8:00
Existing,fall,spawning,instream,600,62.37134986,11/17/2018 8:00
Existing,fall,spawning,floodplain,600,-9999,11/17/2018 8:00
Existing,spring,adult,instream,600,-9999,11/17/2018 8:00
Existing,spring,adult,floodplain,600,-9999,11/17/2018 8:00
Existing,spring,juvenile,instream,600,60.39467401,11/17/2018 8:00
Existing,spring,juvenile,floodplain,600,52.80780533,11/17/2018 8:00
Existing,spring,rearing,instream,600,60.39467401,11/17/2018 8:00
Existing,spring,rearing,floodplain,600,52.80780533,11/17/2018 8:00
Existing,spring,spawning,instream,600,-9999,11/17/2018 8:00
Existing,spring,spawning,floodplain,600,-9999,11/17/2018 8:00
Existing,late-fall,adult,instream,600,62.37134986,11/17/2018 8:00
Existing,late-fall,adult,floodplain,600,-9999,11/17/2018 8:00
Existing,late-fall,juvenile,instream,600,24.84435262,11/17/2018 8:00
Existing,late-fall,juvenile,floodplain,600,52.80780533,11/17/2018 8:00
Existing,late-fall,rearing,instream,600,24.84435262,11/17/2018 8:00
Existing,late-fall,rearing,floodplain,600,52.80780533,11/17/2018 8:00
Existing,late-fall,spawning,instream,600,62.37134986,11/17/2018 8:00
Existing,late-fall,spawning,floodplain,600,-9999,11/17/2018 8:00
Existing,hardhead,adult,instream,600,-9999,11/17/2018 8:00
Existing,hardhead,adult,floodplain,600,-9999,11/17/2018 8:00
Existing,hardhead,juvenile,instream,600,41.22378329,11/17/2018 8:00
Existing,hardhead,juvenile,floodplain,600,20.57327824,11/17/2018 8:00
Existing,hardhead,rearing,instream,600,41.22378329,11/17/2018 8:00
Existing,hardhead,rearing,floodplain,600,20.57327824,11/17/2018 8:00
Existing,hardhead,spawning,instream,600,-9999,11/17/2018 8:00
Existing,hardhead,spawning,floodplain,600,-9999,11/17/2018 8:00
Existing,steelhead,adult,instream,600,-9999,11/17/2018 8:00
Existing,steelhead,adult,floodplain,600,-9999,11/17/2018 8:00
Existing,steelhead,juvenile,instream,600,60.39467401,11/17/2018 8:00
Existing,steelhead,juvenile,floodplain,600,52.80780533,11/17/2018 8:00
Existing,steelhead,rearing,instream,600,60.39467401,11/17/2018 8:00
Existing,steelhead,rearing,floodplain,600,52.80780533,11/17/2018 8:00
Existing,steelhead,spawning,instream,600,-9999,11/17/2018 8:00
Existing,steelhead,spawning,floodplain,600,-9999,11/17/2018 8:00
Existing,fall,adult,instream,1000,59.77208448,11/17/2018 18:00
Existing,fall,adult,floodplain,1000,-9999,11/17/2018 18:00
Existing,fall,juvenile,instream,1000,8.630211203,11/17/2018 18:00
Existing,fall,juvenile,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,fall,rearing,instream,1000,8.630211203,11/17/2018 18:00
Existing,fall,rearing,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,fall,spawning,instream,1000,59.77208448,11/17/2018 18:00
Existing,fall,spawning,floodplain,1000,-9999,11/17/2018 18:00
Existing,spring,adult,instream,1000,-9999,11/17/2018 18:00
Existing,spring,adult,floodplain,1000,-9999,11/17/2018 18:00
Existing,spring,juvenile,instream,1000,53.57199265,11/17/2018 18:00
Existing,spring,juvenile,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,spring,rearing,instream,1000,53.57199265,11/17/2018 18:00
Existing,spring,rearing,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,spring,spawning,instream,1000,-9999,11/17/2018 18:00
Existing,spring,spawning,floodplain,1000,-9999,11/17/2018 18:00
Existing,late-fall,adult,instream,1000,59.77208448,11/17/2018 18:00
Existing,late-fall,adult,floodplain,1000,-9999,11/17/2018 18:00
Existing,late-fall,juvenile,instream,1000,8.630211203,11/17/2018 18:00
Existing,late-fall,juvenile,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,late-fall,rearing,instream,1000,8.630211203,11/17/2018 18:00
Existing,late-fall,rearing,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,late-fall,spawning,instream,1000,59.77208448,11/17/2018 18:00
Existing,late-fall,spawning,floodplain,1000,-9999,11/17/2018 18:00
Existing,hardhead,adult,instream,1000,-9999,11/17/2018 18:00
Existing,hardhead,adult,floodplain,1000,-9999,11/17/2018 18:00
Existing,hardhead,juvenile,instream,1000,24.81551882,11/17/2018 18:00
Existing,hardhead,juvenile,floodplain,1000,33.64389348,11/17/2018 18:00
Existing,hardhead,rearing,instream,1000,24.81551882,11/17/2018 18:00
Existing,hardhead,rearing,floodplain,1000,33.64389348,11/17/2018 18:00
Existing,hardhead,spawning,instream,1000,-9999,11/17/2018 18:00
Existing,hardhead,spawning,floodplain,1000,-9999,11/17/2018 18:00
Existing,steelhead,adult,instream,1000,-9999,11/17/2018 18:00
Existing,steelhead,adult,floodplain,1000,-9999,11/17/2018 18:00
Existing,steelhead,juvenile,instream,1000,53.57199265,11/17/2018 18:00
Existing,steelhead,juvenile,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,steelhead,rearing,instream,1000,53.57199265,11/17/2018 18:00
Existing,steelhead,rearing,floodplain,1000,76.9687787,11/17/2018 18:00
Existing,steelhead,spawning,instream,1000,-9999,11/17/2018 18:00
Existing,steelhead,spawning,floodplain,1000,-9999,11/17/2018 18:00
Existing,fall,adult,instream,3000,30.05408632,11/18/2018 4:00
Existing,fall,adult,floodplain,3000,-9999,11/18/2018 4:00
Existing,fall,juvenile,instream,3000,0.376951331,11/18/2018 4:00
Existing,fall,juvenile,floodplain,3000,146.538292,11/18/2018 4:00
Existing,fall,rearing,instream,3000,0.376951331,11/18/2018 4:00
Existing,fall,rearing,floodplain,3000,146.538292,11/18/2018 4:00
Existing,fall,spawning,instream,3000,30.05408632,11/18/2018 4:00
Existing,fall,spawning,floodplain,3000,-9999,11/18/2018 4:00
Existing,spring,adult,instream,3000,-9999,11/18/2018 4:00
Existing,spring,adult,floodplain,3000,-9999,11/18/2018 4:00
Existing,spring,juvenile,instream,3000,9.818916437,11/18/2018 4:00
Existing,spring,juvenile,floodplain,3000,146.538292,11/18/2018 4:00
Existing,spring,rearing,instream,3000,9.818916437,11/18/2018 4:00
Existing,spring,rearing,floodplain,3000,146.538292,11/18/2018 4:00
Existing,spring,spawning,instream,3000,-9999,11/18/2018 4:00
Existing,spring,spawning,floodplain,3000,-9999,11/18/2018 4:00
Existing,late-fall,adult,instream,3000,30.05408632,11/18/2018 4:00
Existing,late-fall,adult,floodplain,3000,-9999,11/18/2018 4:00
Existing,late-fall,juvenile,instream,3000,0.376951331,11/18/2018 4:00
Existing,late-fall,juvenile,floodplain,3000,146.538292,11/18/2018 4:00
Existing,late-fall,rearing,instream,3000,0.376951331,11/18/2018 4:00
Existing,late-fall,rearing,floodplain,3000,146.538292,11/18/2018 4:00
Existing,late-fall,spawning,instream,3000,30.05408632,11/18/2018 4:00
Existing,late-fall,spawning,floodplain,3000,-9999,11/18/2018 4:00
Existing,hardhead,adult,instream,3000,-9999,11/18/2018 4:00
Existing,hardhead,adult,floodplain,3000,-9999,11/18/2018 4:00
Existing,hardhead,juvenile,instream,3000,2.139393939,11/18/2018 4:00
Existing,hardhead,juvenile,floodplain,3000,75.4328742,11/18/2018 4:00
Existing,hardhead,rearing,instream,3000,2.139393939,11/18/2018 4:00
Existing,hardhead,rearing,floodplain,3000,75.4328742,11/18/2018 4:00
Existing,hardhead,spawning,instream,3000,-9999,11/18/2018 4:00
Existing,hardhead,spawning,floodplain,3000,-9999,11/18/2018 4:00
Existing,steelhead,adult,instream,3000,-9999,11/18/2018 4:00
Existing,steelhead,adult,floodplain,3000,-9999,11/18/2018 4:00
Existing,steelhead,juvenile,instream,3000,9.818916437,11/18/2018 4:00
Existing,steelhead,juvenile,floodplain,3000,146.538292,11/18/2018 4:00
Existing,steelhead,rearing,instream,3000,9.818916437,11/18/2018 4:00
Existing,steelhead,rearing,floodplain,3000,146.538292,11/18/2018 4:00
Existing,steelhead,spawning,instream,3000,-9999,11/18/2018 4:00
Existing,steelhead,spawning,floodplain,3000,-9999,11/18/2018 4:00
Existing,fall,adult,instream,5000,7.291919192,11/18/2018 14:00
Existing,fall,adult,floodplain,5000,-9999,11/18/2018 14:00
Existing,fall,juvenile,instream,5000,0.087603306,11/18/2018 14:00
Existing,fall,juvenile,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,fall,rearing,instream,5000,0.087603306,11/18/2018 14:00
Existing,fall,rearing,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,fall,spawning,instream,5000,7.291919192,11/18/2018 14:00
Existing,fall,spawning,floodplain,5000,-9999,11/18/2018 14:00
Existing,spring,adult,instream,5000,-9999,11/18/2018 14:00
Existing,spring,adult,floodplain,5000,-9999,11/18/2018 14:00
Existing,spring,juvenile,instream,5000,2.209917355,11/18/2018 14:00
Existing,spring,juvenile,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,spring,rearing,instream,5000,2.209917355,11/18/2018 14:00
Existing,spring,rearing,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,spring,spawning,instream,5000,-9999,11/18/2018 14:00
Existing,spring,spawning,floodplain,5000,-9999,11/18/2018 14:00
Existing,late-fall,adult,instream,5000,7.291919192,11/18/2018 14:00
Existing,late-fall,adult,floodplain,5000,-9999,11/18/2018 14:00
Existing,late-fall,juvenile,instream,5000,0.087603306,11/18/2018 14:00
Existing,late-fall,juvenile,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,late-fall,rearing,instream,5000,0.087603306,11/18/2018 14:00
Existing,late-fall,rearing,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,late-fall,spawning,instream,5000,7.291919192,11/18/2018 14:00
Existing,late-fall,spawning,floodplain,5000,-9999,11/18/2018 14:00
Existing,hardhead,adult,instream,5000,-9999,11/18/2018 14:00
Existing,hardhead,adult,floodplain,5000,-9999,11/18/2018 14:00
Existing,hardhead,juvenile,instream,5000,0.562901745,11/18/2018 14:00
Existing,hardhead,juvenile,floodplain,5000,95.8251607,11/18/2018 14:00
Existing,hardhead,rearing,instream,5000,0.562901745,11/18/2018 14:00
Existing,hardhead,rearing,floodplain,5000,95.8251607,11/18/2018 14:00
Existing,hardhead,spawning,instream,5000,-9999,11/18/2018 14:00
Existing,hardhead,spawning,floodplain,5000,-9999,11/18/2018 14:00
Existing,steelhead,adult,instream,5000,-9999,11/18/2018 14:00
Existing,steelhead,adult,floodplain,5000,-9999,11/18/2018 14:00
Existing,steelhead,juvenile,instream,5000,2.209917355,11/18/2018 14:00
Existing,steelhead,juvenile,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,steelhead,rearing,instream,5000,2.209917355,11/18/2018 14:00
Existing,steelhead,rearing,floodplain,5000,177.7775023,11/18/2018 14:00
Existing,steelhead,spawning,instream,5000,-9999,11/18/2018 14:00
Existing,steelhead,spawning,floodplain,5000,-9999,11/18/2018 14:00
Existing,fall,adult,instream,6000,4.661616162,11/19/2018 0:00
Existing,fall,adult,floodplain,6000,-9999,11/19/2018 0:00
Existing,fall,juvenile,instream,6000,0.051515152,11/19/2018 0:00
Existing,fall,juvenile,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,fall,rearing,instream,6000,0.051515152,11/19/2018 0:00
Existing,fall,rearing,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,fall,spawning,instream,6000,4.661616162,11/19/2018 0:00
Existing,fall,spawning,floodplain,6000,-9999,11/19/2018 0:00
Existing,spring,adult,instream,6000,-9999,11/19/2018 0:00
Existing,spring,adult,floodplain,6000,-9999,11/19/2018 0:00
Existing,spring,juvenile,instream,6000,1.274655647,11/19/2018 0:00
Existing,spring,juvenile,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,spring,rearing,instream,6000,1.274655647,11/19/2018 0:00
Existing,spring,rearing,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,spring,spawning,instream,6000,-9999,11/19/2018 0:00
Existing,spring,spawning,floodplain,6000,-9999,11/19/2018 0:00
Existing,late-fall,adult,instream,6000,4.661616162,11/19/2018 0:00
Existing,late-fall,adult,floodplain,6000,-9999,11/19/2018 0:00
Existing,late-fall,juvenile,instream,6000,0.051515152,11/19/2018 0:00
Existing,late-fall,juvenile,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,late-fall,rearing,instream,6000,0.051515152,11/19/2018 0:00
Existing,late-fall,rearing,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,late-fall,spawning,instream,6000,4.661616162,11/19/2018 0:00
Existing,late-fall,spawning,floodplain,6000,-9999,11/19/2018 0:00
Existing,hardhead,adult,instream,6000,-9999,11/19/2018 0:00
Existing,hardhead,adult,floodplain,6000,-9999,11/19/2018 0:00
Existing,hardhead,juvenile,instream,6000,0.374839302,11/19/2018 0:00
Existing,hardhead,juvenile,floodplain,6000,103.2279155,11/19/2018 0:00
Existing,hardhead,rearing,instream,6000,0.374839302,11/19/2018 0:00
Existing,hardhead,rearing,floodplain,6000,103.2279155,11/19/2018 0:00
Existing,hardhead,spawning,instream,6000,-9999,11/19/2018 0:00
Existing,hardhead,spawning,floodplain,6000,-9999,11/19/2018 0:00
Existing,steelhead,adult,instream,6000,-9999,11/19/2018 0:00
Existing,steelhead,adult,floodplain,6000,-9999,11/19/2018 0:00
Existing,steelhead,juvenile,instream,6000,1.274655647,11/19/2018 0:00
Existing,steelhead,juvenile,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,steelhead,rearing,instream,6000,1.274655647,11/19/2018 0:00
Existing,steelhead,rearing,floodplain,6000,189.9080808,11/19/2018 0:00
Existing,steelhead,spawning,instream,6000,-9999,11/19/2018 0:00
Existing,steelhead,spawning,floodplain,6000,-9999,11/19/2018 0:00
